"Customer","Project","Task","Task Status","Spent Time","Priority (custom field)","Estimate","Deadline","Type of Work"
"Big Bang Company","Spaceship building","3D modelling","Completed: Done","1.50","Medium","","May 12, 2022","Billable: engineering"
"Cust1112","eeeeeeeeee","abcd","Open: New","0.00","Low","","","Billable: engineering"
"Cust111","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1112","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1113","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1114","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1115","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1117","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Cust1118","Android prototyping","Android calibration","Open: New","0.00","Low","340.00","","Billable: engineering"
"Galaxy Corporation","Android prototyping","Android calibration","Open: New","179.33","High","340.00","Jun 10, 2022","Billable: engineering"
"Our company","Training (archived)","Artificial gravity training","Completed: Done","304.42","Low","","May 16, 2022","Non-Billable: training"
"Big Bang Company","Spaceship building","Assembly","Completed: Won't do","0.00","Medium","","","Billable: manufacturing"
"Cust111","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1112","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1113","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1114","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1115","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1117","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Cust1118","Android prototyping","Assembly","Completed: Done","0.00","Low","","","Billable: manufacturing"
"Galaxy Corporation","Android prototyping","Assembly","Completed: Done","8.83","High","","","Billable: manufacturing"
"Big Bang Company","Spaceship building","Black hole protection","Open: Planning","369.50","High","400.00","Jun 09, 2022","Billable: repair: complex"
"Joda Consulting Inc (archived)","Lightsaber Upgrade (archived)","Brightness adjustment","Completed: Done","72.00","Low","90.00","Apr 07, 2022","Billable: engineering"
"Big Bang Company","Spaceship testing","Bug fixing","Open: New","262.00","Medium","350.00","Jul 27, 2022","Billable: repair: standard"
"Cust111","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1112","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1113","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1114","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1115","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1117","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Cust1118","Android testing","Bug fixing","Open: Planning","0.00","Low","","","Billable: repair: complex"
"Galaxy Corporation","Android testing","Bug fixing","Open: Planning","60.58","Medium","","","Billable: repair: complex"
"Joda Consulting Inc (archived)","Lightsaber Upgrade (archived)","Bug fixing","Completed: Done","7.67","Medium","","","Billable: repair: standard"
"Our company","Accounting","Calls","Open: In Progress","159.58","Medium","","","Non-Billable: non-billable"
"Our company","Management","Calls","Open: In Progress","347.38","Medium","","","Non-Billable: non-billable"
"Our company","Sales","Calls","Open: In Progress","239.67","Medium","","","Non-Billable: non-billable"
"Our company","Management","Capacity planning: Q1","Completed: Done","27.08","High","90.00","Mar 25, 2022","Non-Billable: planning"
"Our company","Management","Capacity planning: Q2","Open: New","91.42","High","100.00","May 26, 2022","Non-Billable: planning"
"Our company","Recruiting & HR","Company's birthday party 3018","Completed: Done","8.08","Low","","","Non-Billable: non-billable"
"Cust111","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1112","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1113","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1114","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1115","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1117","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Cust1118","Android prototyping","Custom parts","Completed: Won't do","0.00","Low","","","Billable: manufacturing"
"Galaxy Corporation","Android prototyping","Custom parts","Completed: Won't do","0.00","Medium","","","Billable: manufacturing"
"Cust111","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1112","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1113","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1114","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1115","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1117","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Cust1118","Android prototyping","Customer demo sessions","Open: In Progress","0.00","Low","","","Billable: support"
"Galaxy Corporation","Android prototyping","Customer demo sessions","Open: In Progress","54.00","Medium","","","Billable: support"
"Big Bang Company","Spaceship testing","Customer review assistance","Open: In Progress","26.25","Medium","","","Billable: support"
"Our company","Recruiting & HR","CV review","Open: In Progress","91.08","Medium","","","Non-Billable: non-billable"
"Cust111","Tq2","demo","Open: New","0.00","Low","","","Billable: engineering"
"Big Bang Company","Spaceship testing","Engine tests","Completed: Done","11.33","Medium","","","Billable: testing"
"Our company","Training (archived)","Exams","Completed: Done","15.75","Low","","May 27, 2022","Non-Billable: training"
"Big Bang Company","Flight operations","Flight analysis","Open: New","0.00","Medium","","Aug 03, 2022","Non-Billable: research"
"Big Bang Company","Flight operations","Flight support","Completed: Done","4.58","High","","","Billable: support"
"Our company","Training (archived)","Flight training","Completed: Done","223.92","High","220.00","May 11, 2022","Non-Billable: training"
"Our company","Recruiting & HR","Interviews","Open: In Progress","86.58","Medium","","","Non-Billable: non-billable"
"Our company","Accounting","Invoicing","Open: In Progress","107.75","High","","","Non-Billable: non-billable"
"Big Bang Company","Spaceship testing","Landing test","Open: Planning","213.92","High","200.00","Jun 03, 2022","Billable: testing"
"Cust111","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1112","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1113","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1114","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1115","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1117","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Cust1118","Android testing","Load testing","Completed: Done","0.00","Low","","","Billable: testing"
"Galaxy Corporation","Android testing","Load testing","Completed: Done","3.00","High","","","Billable: testing"
"Big Bang Company","Flight operations","Lunar mission","Completed: Won't do","0.00","Medium","","","Billable: support"
"Our company","Sales","Market research","Open: New","32.00","Medium","","","Non-Billable: research"
"Big Bang Company","Flight operations","Mars mission support","Open: Planning","0.00","High","","Jul 01, 2022","Billable: support"
"Our company","Management","Meetings","Open: In Progress","328.00","Medium","","","Non-Billable: non-billable"
"Joda Consulting Inc (archived)","Lightsaber Upgrade (archived)","Minor repairs","Completed: Done","0.00","Low","","","Billable: repair: standard"
"Our company","Accounting","Monthly payroll","Completed: Done","6.17","Medium","","","Non-Billable: non-billable"
"Our company","Sales","Monthly sales report","Open: Review","20.25","Medium","","","Non-Billable: sales"
"Cust111","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1112","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1113","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1114","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1115","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1117","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Cust1118","Android prototyping","Motion controls configuration","Completed: Done","0.00","Low","","","Billable: engineering"
"Galaxy Corporation","Android prototyping","Motion controls configuration","Completed: Done","14.58","Low","","","Billable: engineering"
"Big Bang Company","Flight operations","NASA negotiations","Open: In Progress","30.50","High","","","Non-Billable: planning"
"Joda Consulting Inc (archived)","Lightsaber Upgrade (archived)","Negotiations","Completed: Done","190.50","High","","","Non-Billable: planning"
"Our company","Sales","New engine promo campaign","Open: In Progress","11.17","Medium","","","Non-Billable: sales"
"Our company","Sales","Next quarter forecast","Open: Planning","51.42","Medium","","","Non-Billable: sales"
"Big Bang Company","Spaceship building","Parts ordering","Completed: Done","3.50","High","","","Non-Billable: non-billable"
"Joda Consulting Inc (archived)","Lightsaber Upgrade (archived)","Power system setup","Completed: Won't do","0.00","High","","","Billable: repair: complex"
"Big Bang Company","Spaceship building","Product documentation","Open: In Progress","102.83","Medium","","","Non-Billable: non-billable"
"Big Bang Company","Spaceship building","Prototype 1 deployment","Open: Review","101.00","Medium","130.00","May 26, 2022","Billable: engineering"
"Big Bang Company","Spaceship building","Prototype 2 deployment","Open: In Progress","90.75","Medium","","","Billable: engineering"
"Big Bang Company","Spaceship building","Pump replacement","Open: New","82.92","High","","","Billable: repair: standard"
"Our company","Recruiting & HR","Review sick and vacation settings","Open: In Progress","8.50","Low","","","Non-Billable: planning"
"Cust111","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1112","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1113","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1114","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1115","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1117","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Cust1118","Android prototyping","Robotics research","Open: Review","0.00","Low","170.00","","Non-Billable: research"
"Galaxy Corporation","Android prototyping","Robotics research","Open: Review","198.83","Medium","170.00","","Non-Billable: research"
"Our company","Management","Sales strategy","Open: Review","52.58","Medium","","","Non-Billable: sales"
"Our company","Training (archived)","Sales training","Completed: Done","256.92","Medium","250.00","","Non-Billable: training"
"Big Bang Company","Spaceship testing","Sensor check","Completed: Won't do","0.00","High","","","Billable: testing"
"Our company","Training (archived)","Simulator operation training","Completed: Won't do","199.25","Low","","","Non-Billable: training"
"Cust111","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1112","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1113","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1114","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1115","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1117","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Cust1118","Android testing","Simulator testing","Open: In Progress","0.00","Low","","","Billable: testing"
"Galaxy Corporation","Android testing","Simulator testing","Open: In Progress","51.42","High","","","Billable: testing"
"Our company","Sales","Spacecraft research","Completed: Done","11.75","Medium","","","Non-Billable: research"
"Cust111","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1112","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1113","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1114","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1115","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1117","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Cust1118","Android prototyping","Stereo vision system","Open: Planning","0.00","Low","","","Billable: manufacturing"
"Galaxy Corporation","Android prototyping","Stereo vision system","Open: Planning","43.25","Medium","","Jun 10, 2022","Billable: manufacturing"
"Our company","Management","Strategic roadmap","Open: Planning","49.50","Medium","","Jun 10, 2022","Non-Billable: research"
"Big Bang Company","Spaceship building","Supplier negotiations","Completed: Won't do","0.00","Medium","","","Non-Billable: planning"
"Our company","Accounting","Supplier selection","Completed: Done","152.08","Medium","","","Non-Billable: research"
"Cust1112","Tq3","Task11","Open: New","0.00","Low","","","Billable: engineering"
"Cust111","Tq2","Task3","Open: New","0.00","Low","","Jul 29, 2022","Billable: testing"
"Cust111","Tq2","Task4","Open: New","0.00","Low","","Aug 01, 2022","Billable: testing"
"Cust111","Tq2","Task5","Open: New","0.00","Low","","Aug 02, 2022","Billable: testing"
"Big Bang Company","Flight operations","Team meetings","Open: In Progress","23.33","Medium","","","Non-Billable: non-billable"
"Big Bang Company","Spaceship testing","Test flight","Open: In Progress","159.33","High","430.00","Jun 17, 2022","Billable: testing"
